match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T203806,Punjab Kings Vs Royals,Punjab Kings,RahulChahar,4.0,0,31,0,7.75,5,1,1,0,0
T203806,Punjab Kings Vs Royals,Punjab Kings,SikandarRaza,2.0,0,24,0,12.0,2,1,1,2,0
T204417,KKR Vs RCB,RCB,MohammedSiraj,4.0,0,44,1,11.0,13,6,1,3,1
T204417,KKR Vs RCB,RCB,DavidWilley,4.0,1,16,2,4.0,15,2,0,1,0
T204417,KKR Vs RCB,RCB,AkashDeep,2.0,0,30,0,15.0,4,2,2,1,2
T204417,KKR Vs RCB,RCB,MichaelBracewell,3.0,0,34,1,11.33,3,1,3,0,0
T204417,KKR Vs RCB,RCB,ShahbazAhmed,1.0,0,6,0,6.0,3,1,0,0,0
T204417,KKR Vs RCB,RCB,KarnSharma,3.0,0,26,2,8.66,6,2,1,0,0
T204417,KKR Vs RCB,RCB,HarshalPatel,3.0,0,38,1,12.66,5,4,2,1,0
T204417,KKR Vs RCB,KKR,UmeshYadav,2.0,0,17,0,8.5,5,3,0,0,0
T204417,KKR Vs RCB,KKR,TimSouthee,2.0,0,25,0,12.5,5,2,2,0,0
T204417,KKR Vs RCB,KKR,SunilNarine,4.0,0,16,2,4.0,12,1,0,0,0
T204417,KKR Vs RCB,KKR,VarunChakravarthy,3.4,0,15,4,4.09,13,2,0,0,0
T204417,KKR Vs RCB,KKR,SuyashSharma,4.0,0,30,3,7.5,11,2,2,1,0
T204417,KKR Vs RCB,KKR,ShardulThakur,2.0,0,15,1,7.5,4,2,0,0,0
T203547,Sunrisers Vs Super Giants,Super Giants,KyleMayers,1.0,0,5,0,5.0,1,0,0,0,0
T203547,Sunrisers Vs Super Giants,Super Giants,JaydevUnadkat,3.0,0,26,0,8.66,9,0,3,1,0
T203547,Sunrisers Vs Super Giants,Super Giants,KrunalPandya,4.0,0,18,3,4.5,15,3,0,0,0
T203547,Sunrisers Vs Super Giants,Super Giants,YashThakur,3.0,0,23,1,7.66,6,3,0,0,0
T203547,Sunrisers Vs Super Giants,Super Giants,RaviBishnoi,4.0,0,16,1,4.0,10,0,0,1,0
T203547,Sunrisers Vs Super Giants,Super Giants,DeepakHooda,1.0,0,8,0,8.0,1,1,0,0,0
T203547,Sunrisers Vs Super Giants,Super Giants,AmitMishra,4.0,0,23,2,5.75,10,3,0,0,0
T203547,Sunrisers Vs Super Giants,Sunrisers,BhuvneshwarKumar,2.0,0,19,1,9.5,7,1,1,1,0
T203547,Sunrisers Vs Super Giants,Sunrisers,WashingtonSundar,1.0,0,11,0,11.0,1,2,0,0,0
T203547,Sunrisers Vs Super Giants,Sunrisers,FazalhaqFarooqi,3.0,0,13,1,4.33,12,2,0,1,0
T203547,Sunrisers Vs Super Giants,Sunrisers,AidenMarkram,2.0,0,14,0,7.0,5,2,0,0,0
T203547,Sunrisers Vs Super Giants,Sunrisers,AdilRashid,3.0,0,23,2,7.66,8,2,1,0,0
T203547,Sunrisers Vs Super Giants,Sunrisers,TNatarajan,3.0,0,23,0,7.66,7,1,1,1,0
T203547,Sunrisers Vs Super Giants,Sunrisers,UmranMalik,2.0,0,22,1,11.0,7,3,0,2,0
T203342,Royals Vs Capitals,Capitals,KhaleelAhmed,2.0,0,31,0,15.5,3,6,0,2,0
T203342,Royals Vs Capitals,Capitals,AnrichNortje,4.0,0,44,0,11.0,10,6,2,0,0
T203342,Royals Vs Capitals,Capitals,MukeshKumar,4.0,0,36,2,9.0,8,3,2,0,0
T203342,Royals Vs Capitals,Capitals,AxarPatel,4.0,0,38,0,9.5,6,5,1,0,0
T203342,Royals Vs Capitals,Capitals,KuldeepYadav,4.0,0,31,1,7.75,8,2,1,0,0
